2019-01-01*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*5,7*0,0*1,5*04:58*9,9*13:30*13*4,7*8,9*10:44*2,1*1020,2*Varias*1016,8*01
2019-01-02*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*7,9*0,0*6,0*23:49*9,8*Varias*99*4,2*12,8*19:18*0,0*1021,0*Varias*1017,5*24
2019-01-03*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*6,1*0,0*1,7*23:55*10,5*13:40*99*5,3*10,8*Varias*7,9*1017,5*00*1014,5*14
2019-01-04*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*4,9*0,0*-1,4*06:04*11,2*14:12*99*3,9*8,3*Varias*8,6*1019,4*Varias*1015,1*05
2019-01-05*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*6,1*0,0*0,0*01:44*12,2*14:33*99*3,3*7,2*Varias*8,6*1021,6*Varias*1019,0*05
2019-01-06*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*5,0*0,0*-1,0*08:10*11,0*13:38*11*3,9*9,2*16:34*8,3*1021,6*Varias*1019,6*14
2019-01-07*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*4,9*0,0*-0,2*02:04*10,0*13:16*10*5,0*11,4*Varias*8,3*1022,0*Varias*1019,6*14
2019-01-08*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*6,2*0,0*0,9*06:53*11,6*13:00*99*2,8*7,8*Varias*5,8*1020,5*Varias*1017,3*24
2019-01-09*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*7,6*0,5*5,1*23:30*10,2*15:30*21*2,5*9,2*01:59*0,0*1017,3*00*1011,7*24
2019-01-10*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*6,0*0,0*2,2*22:12*9,9*14:28*08*4,2*10,8*14:41*2,4*1014,8*Varias*1010,7*05
2019-01-11*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*4,8*0,0*0,7*04:27*8,9*12:59*99*1,9*8,3*Varias*0,0*1018,7*Varias*1014,5*01
2019-01-12*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*6,0*0,0*2,1*02:34*9,8*14:29*17*2,8*8,9*11:06*0,0*1020,0*Varias*1017,5*07
2019-01-13*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,4*0,0*5,6*07:35*13,1*14:19*22*4,4*10,3*07:23*5,1*1019,0*00*1014,5*24
2019-01-14*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,1*0,0*4,1*23:04*12,1*13:49*19*2,8*8,3*06:37*0,2*1014,5*00*1009,5*24
2019-01-15*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,0*0,0*3,4*05:56*12,6*13:13*12*3,3*8,3*12:04*6,8*1009,5*00*1002,4*24
2019-01-16*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,3*8,5*3,3*03:41*13,3*14:15*29*3,6*12,8*19:01*2,2*1004,2*Varias*1000,0*14
2019-01-17*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,1*0,5*5,6*22:10*10,6*11:59*33*2,8*10,3*01:15*3,3*1007,7*Varias*1004,2*00
2019-01-18*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,4*1,2*5,5*Varias*11,4*14:48*30*4,2*13,3*18:31*0,2*1007,1*00*1000,1*17
2019-01-19*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*8,8*39,2*7,3*06:41*10,3*23:31*13*3,1*8,9*12:17*0,0*1000,9*00*989,3*16
2019-01-20*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,2*8,0*8,1*23:41*12,2*11:40*30*3,1*10,3*06:02*2,3*1008,2*Varias*997,6*00
2019-01-21*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,0*0,4*6,1*21:04*11,8*14:26*35*1,9*7,8*01:52*5,5*1011,0*Varias*1007,5*24
